size;time
1000000;4324
1000000;4430
1000000;4563
1000000;4260
1000000;4302
1000000;3888
1000000;4401
1000000;4192
1000000;4306
1000000;4047
5000000;16894
5000000;16292
5000000;15647
5000000;15316
5000000;14327
5000000;15977
5000000;16367
5000000;20745
5000000;16372
5000000;16264
9000000;24849
9000000;26524
9000000;26545
9000000;25305
9000000;26059
9000000;25930
9000000;26481
9000000;24756
9000000;26612
9000000;25283
10000000;26768
10000000;30186
10000000;30709
10000000;30583
10000000;26429
10000000;27446
10000000;27324
10000000;28515
10000000;28543
10000000;25619
50000000;137672
50000000;145627
50000000;146427
50000000;149312
50000000;157618
50000000;150933
50000000;154270
50000000;170985
50000000;153497
50000000;169563
90000000;278341
90000000;283443
90000000;275438
90000000;291537
90000000;288681
90000000;286971
90000000;276501
90000000;296220
90000000;288883
90000000;285950
