size;time
1000000;71381
1000000;82495
1000000;86605
1000000;90474
1000000;83937
1000000;90106
1000000;88024
1000000;67538
1000000;68305
1000000;70953
5000000;71201
5000000;68296
5000000;83468
5000000;85307
5000000;92152
5000000;85529
5000000;65508
5000000;74810
5000000;67962
5000000;77882
9000000;77690
9000000;76154
9000000;69489
9000000;73298
9000000;67848
9000000;69377
9000000;78571
9000000;75517
9000000;78427
9000000;78868
10000000;74629
10000000;76840
10000000;83870
10000000;68262
10000000;73243
10000000;70055
10000000;74781
10000000;80082
10000000;70523
10000000;74855
50000000;124062
50000000;105507
50000000;97671
50000000;107428
50000000;99565
50000000;112427
50000000;96664
50000000;97173
50000000;105842
50000000;99721
90000000;136048
90000000;126661
90000000;134494
90000000;129605
90000000;138865
90000000;134972
90000000;127590
90000000;130591
90000000;134873
90000000;127911
