size;time
1000000;145811
1000000;141661
1000000;125343
1000000;129236
1000000;127422
1000000;128861
1000000;125106
1000000;135126
1000000;138118
1000000;128130
5000000;155529
5000000;154186
5000000;156362
5000000;154211
5000000;154485
5000000;155061
5000000;162047
5000000;154783
5000000;164234
5000000;156115
9000000;190727
9000000;194540
9000000;192851
9000000;195759
9000000;194180
9000000;189485
9000000;196400
9000000;186305
9000000;192473
9000000;187421
10000000;204353
10000000;197521
10000000;193763
10000000;199358
10000000;190919
10000000;196679
10000000;197847
10000000;191132
10000000;197043
10000000;197450
50000000;506348
50000000;500650
50000000;503086
50000000;502792
50000000;507273
50000000;515930
50000000;504764
50000000;510681
50000000;512812
50000000;508543
90000000;827965
90000000;823993
90000000;864513
90000000;857814
90000000;914265
90000000;867979
90000000;843328
90000000;843734
90000000;859297
90000000;819091
