size;time
1000000;3389
1000000;3768
1000000;3763
1000000;3687
1000000;3075
1000000;3267
1000000;5741
1000000;3099
1000000;3093
1000000;3115
5000000;13124
5000000;13047
5000000;13096
5000000;13172
5000000;13238
5000000;14722
5000000;13592
5000000;13162
5000000;13111
5000000;12900
9000000;24718
9000000;24758
9000000;24446
9000000;24138
9000000;24474
9000000;24094
9000000;24436
9000000;24112
9000000;25295
9000000;24118
10000000;29549
10000000;27501
10000000;26834
10000000;28208
10000000;28060
10000000;27253
10000000;27919
10000000;26983
10000000;33252
10000000;26997
50000000;157555
50000000;150400
50000000;145471
50000000;157695
50000000;146950
50000000;160714
50000000;163459
50000000;152585
50000000;146606
50000000;168131
90000000;385719
90000000;481483
90000000;357630
90000000;343451
90000000;453075
90000000;358170
90000000;487235
90000000;430924
90000000;483382
90000000;369852
