size;time
1000000;90398
1000000;79382
1000000;84093
1000000;70302
1000000;72898
1000000;82432
1000000;72269
1000000;83981
1000000;70681
1000000;74855
5000000;126367
5000000;105778
5000000;108614
5000000;109451
5000000;105715
5000000;107254
5000000;94580
5000000;104330
5000000;103260
5000000;93592
9000000;130227
9000000;130770
9000000;122614
9000000;120755
9000000;135014
9000000;128659
9000000;120624
9000000;125115
9000000;131317
9000000;126534
10000000;134157
10000000;129377
10000000;126523
10000000;126380
10000000;130905
10000000;136087
10000000;136865
10000000;128143
10000000;127334
10000000;128018
50000000;374709
50000000;396242
50000000;385716
50000000;383146
50000000;384916
50000000;381198
50000000;382329
50000000;382818
50000000;398448
50000000;376523
90000000;624863
90000000;631923
90000000;651527
90000000;635265
90000000;645137
90000000;647085
90000000;709287
90000000;662127
90000000;632975
90000000;642982
